Order ID,Product ID,Customer ID,Order Date,Sales,Profit,Quantity,Discount
PL-2013-AB600103-41494,FUR-TA-4644,AB-600103,08-08-2013,1977,276,4,0.0
CA-2012-AB10015140-40974,OFF-ST-3744,AB-100151404,06-03-2012,242,4,3,0.0
IN-2012-JK1532527-41030,FUR-CH-5774,JK-1532527,01-05-2012,2753,358,6,0.0
ES-2014-LB16795139-41697,OFF-AP-4960,LB-16795139,27-02-2014,5273,1898,10,0.0
US-2015-NP1832582-42216,TEC-PH-5268,NP-1832582,31-07-2015,1713,445,4,0.0
MX-2015-VD2167039-42252,FUR-TA-4643,VD-2167039,05-09-2015,2106,526,8,0.2
IN-2012-PB19210127-41259,FUR-TA-5060,PB-19210127,16-12-2012,1715,720,2,0.0
ES-2012-EB1411048-40981,OFF-AP-4743,EB-1411048,13-03-2012,3069,1364,6,0.1
CA-2012-AH10030140-41020,OFF-FA-6129,AH-100301406,21-04-2012,247,121,8,0.0
IN-2013-BP1123058-41329,FUR-CH-5443,BP-1123058,24-02-2013,1878,582,4,0.0
US-2012-RR1952536-41270,TEC-PH-5841,RR-1952536,27-12-2012,1696,-148,5,0.2
ES-2013-BS1136545-41472,TEC-MA-5503,BS-1136545,17-07-2013,2402,763,9,0.15
CA-2013-AH10030140-41635,TEC-PH-4389,AH-100301404,27-12-2013,668,75,9,0.2
IN-2012-DP131057-41215,OFF-AP-3579,DP-131057,02-11-2012,2526,561,5,0.1
CA-2013-AH10030140-41635,OFF-ST-4291,AH-100301404,27-12-2013,323,61,2,0.0
CG-2012-AH1003033-41165,TEC-PH-3148,AH-1003033,13-09-2012,3817,1068,6,0.0
CA-2012-AH10030140-41041,FUR-CH-4840,AH-100301404,12-05-2012,279,20,6,0.2
CA-2012-AH10030140-41273,TEC-AC-6340,AH-100301406,30-12-2012,34,11,3,0.0
ES-2015-PO18865139-42018,TEC-CO-3598,PO-18865139,14-01-2015,4141,1697,13,0.0
IN-2012-DL128657-40918,TEC-PH-5356,DL-128657,10-01-2012,2875,511,5,0.1
ID-2014-JB1600059-41873,TEC-PH-5268,JB-1600059,22-08-2014,3200,-77,6,0.17
IN-2015-BF1100558-42319,TEC-PH-5269,BF-1100558,11-11-2015,4518,632,7,0.0
IN-2015-VG2180558-42273,FUR-BO-5951,VG-2180558,26-09-2015,5667,2097,13,0.0
ES-2013-GT14710139-41621,TEC-PH-5267,GT-14710139,13-12-2013,5785,404,9,0.0
IT-2012-ZC2191048-41174,OFF-AP-3874,ZC-2191048,22-09-2012,3018,377,7,0.2
CA-2014-AH10030140-41719,FUR-FU-4072,AH-100301408,21-03-2014,86,38,7,0.0
IT-2014-EB1384045-41706,FUR-CH-5441,EB-1384045,08-03-2014,2092,720,5,0.1
IN-2015-AP1091527-42244,FUR-CH-5380,AP-1091527,28-08-2015,2761,110,6,0.0
IN-2015-SW2027558-42125,TEC-MA-5007,SW-2027558,01-05-2015,2174,500,7,0.0
MX-2015-JH15820141-42356,FUR-CH-4531,JH-15820141,18-12-2015,3473,868,11,0.0
US-2012-AH10030140-41206,OFF-BI-4372,AH-100301404,24-10-2012,49,18,4,0.2
IR-2015-TG1164060-42265,TEC-CO-3678,TG-1164060,18-09-2015,2108,527,8,0.0
CA-2012-AH10030140-41273,OFF-LA-3231,AH-100301406,30-12-2012,18,8,3,0.0
IN-2012-PB19210127-41259,FUR-BO-5762,PB-19210127,16-12-2012,2197,153,5,0.0
MZ-2014-DG330087-41991,TEC-PH-5269,DG-330087,18-12-2014,2582,593,4,0.0
IN-2013-SG2047058-41424,TEC-CO-4590,SG-2047058,30-05-2013,1526,732,4,0.0
CA-2012-AH10030140-41020,OFF-BI-2937,AH-100301406,21-04-2012,9,3,3,0.2
IN-2013-GP1474058-41419,FUR-TA-3766,GP-1474058,25-05-2013,1745,226,2,0.0
IN-2015-MW182207-42221,OFF-AP-3577,MW-182207,05-08-2015,4191,1164,9,0.1
CA-2012-AH10030140-41041,OFF-PA-4014,AH-100301404,12-05-2012,8,3,2,0.0
IN-2015-CS1246011-42074,FUR-BO-5760,CS-1246011,11-03-2015,3063,581,7,0.0
CA-2015-AH10030140-42357,OFF-AR-3276,AH-100301406,19-12-2015,18,2,7,0.2
ES-2015-MS1798048-42227,TEC-PH-5839,MS-1798048,11-08-2015,4473,313,7,0.0
IT-2014-KC1667548-41882,TEC-PH-3130,KC-1667548,31-08-2014,1502,225,9,0.0
IN-2015-DB1340527-42022,FUR-CH-5774,DB-1340527,18-01-2015,5048,656,11,0.0
CA-2015-AS10045140-42007,TEC-MA-3788,AS-100451408,03-01-2015,695,-27,2,0.5
IT-2015-DK13090120-42345,FUR-BO-5760,DK-13090120,07-12-2015,2188,1050,5,0.0
IN-2015-CS1184558-42354,FUR-TA-3779,CS-1184558,16-12-2015,1920,652,4,0.0
MX-2015-EM1420082-42328,TEC-PH-5839,EM-1420082,20-11-2015,1704,119,4,0.0
UP-2012-DW3480137-41221,FUR-TA-3771,DW-3480137,08-11-2012,1858,130,4,0.0
IN-2014-AS1022527-41797,FUR-CH-4530,AS-1022527,07-06-2014,3298,1055,7,0.0
MX-2012-ST2053093-41234,OFF-AP-4497,ST-2053093,21-11-2012,2443,121,13,0.0
CG-2014-BW106533-41727,FUR-CH-4530,BW-106533,29-03-2014,3808,1523,8,0.0
IN-2015-LA1678059-42242,FUR-TA-3422,LA-1678059,26-08-2015,3427,-452,7,0.47
ES-2013-AB10150139-41537,TEC-PH-5355,AB-10150139,20-09-2013,3441,38,6,0.1
IN-2015-JH158207-42140,TEC-PH-3147,JH-158207,16-05-2015,2863,858,5,0.1
CA-2015-AS10045140-42218,TEC-MA-3329,AS-100451402,02-08-2015,1439,-263,3,0.4
ES-2014-BE1141048-41967,TEC-CO-3599,BE-1141048,24-11-2014,1487,728,10,0.0
IN-2012-SZ2003527-41221,TEC-CO-6010,SZ-2003527,08-11-2012,3200,1183,9,0.0
IN-2012-RM1937558-41209,FUR-CH-5380,RM-1937558,27-10-2012,2300,91,5,0.0
ES-2015-HG1484545-42327,FUR-CH-4654,HG-1484545,19-11-2015,5729,63,14,0.1
MO-2015-DP310586-42305,TEC-CO-3710,DP-310586,28-10-2015,5301,2597,14,0.0
CA-2014-AS10045140-41908,FUR-BO-3176,AS-100451404,26-09-2014,477,84,2,0.15
US-2015-AS10045140-42252,OFF-BI-3324,AS-100451404,05-09-2015,88,-58,7,0.7
ES-2014-JB1600048-41668,TEC-PH-5268,JB-1600048,29-01-2014,3219,965,5,0.0
ID-2013-AM1070559-41535,OFF-AP-4501,AM-1070559,18-09-2013,2487,-269,6,0.17
MO-2014-AB25586-41966,OFF-AP-4745,AB-25586,23-11-2014,2266,113,4,0.0
IN-2013-RP192707-41438,TEC-CO-3611,RP-192707,13-06-2013,3068,1124,9,0.1
IN-2014-BK1126011-41940,FUR-BO-4849,BK-1126011,28-10-2014,3728,1192,9,0.0
IN-2014-JM1525027-41985,TEC-CO-3678,JM-1525027,12-12-2014,1581,0,6,0.0
IN-2013-GP1474058-41419,TEC-PH-5356,GP-1474058,25-05-2013,1916,498,3,0.0
CA-2015-AS10045140-42281,FUR-TA-5066,AS-100451404,04-10-2015,171,-6,3,0.2
ES-2014-NZ1856545-41975,OFF-AP-4508,NZ-1856545,02-12-2014,2432,513,5,0.1
CA-2015-AS10045140-42007,OFF-BI-3308,AS-100451408,03-01-2015,28,-21,6,0.7
ID-2014-SC20695102-41667,FUR-CH-5443,SC-20695102,28-01-2014,2465,197,7,0.25
IN-2013-NC186257-41401,FUR-TA-3422,NC-186257,07-05-2013,1847,738,2,0.0
ES-2014-NF183858-41970,FUR-BO-4849,NF-183858,27-11-2014,2899,927,7,0.0
IN-2013-NZ185657-41606,FUR-CH-5774,NZ-185657,28-11-2013,2891,96,7,0.1
IT-2013-PM1894045-41546,TEC-MA-5572,PM-1894045,29-09-2013,2016,0,9,0.15
ES-2014-MZ1733545-41885,OFF-AP-4503,MZ-1733545,03-09-2014,3155,34,7,0.1
CG-2014-HM498033-41846,TEC-PH-5268,HM-498033,26-07-2014,3856,1465,6,0.0
IN-2015-RW195407-42327,TEC-PH-3806,RW-195407,19-11-2015,3524,861,6,0.1
ES-2013-LH1715545-41444,TEC-PH-5840,LH-1715545,19-06-2013,2167,790,4,0.15
MX-2013-FH1436582-41558,TEC-PH-5839,FH-1436582,11-10-2013,2556,178,6,0.0
ES-2012-KM1666048-41129,TEC-CO-5999,KM-1666048,08-08-2012,1469,308,5,0.0
ES-2012-PO1886545-41217,TEC-PH-3807,PO-1886545,04-11-2012,4448,1517,8,0.15
US-2012-AS10045140-41116,OFF-PA-6512,AS-100451406,26-07-2012,65,32,11,0.0
MX-2014-AB1006028-41755,FUR-BO-3891,AB-1006028,26-04-2014,2472,914,9,0.0
IN-2014-DB130607-41999,OFF-AP-3575,DB-130607,26-12-2014,3739,747,8,0.1
IT-2014-VM2168591-41711,FUR-CH-5442,VM-2168591,13-03-2014,2570,-2211,11,0.5
CA-2014-AS10045140-41727,OFF-ST-4516,AS-100451408,29-03-2014,31,7,2,0.0
ES-2013-DM1352548-41369,TEC-PH-3149,DM-1352548,05-04-2013,2875,-1783,9,0.5
ES-2013-NM18520120-41634,FUR-BO-5948,NM-18520120,26-12-2013,1741,261,4,0.0
IN-2014-LC168857-41747,TEC-CO-6012,LC-168857,18-04-2014,1601,587,5,0.1
IN-2012-RO1978027-41052,OFF-AP-4738,RO-1978027,23-05-2012,3670,367,7,0.0
CA-2015-AS10045140-42218,OFF-PA-6557,AS-100451402,02-08-2015,36,12,7,0.2
ES-2014-EM1406548-41775,TEC-CO-4593,EM-1406548,16-05-2014,1900,589,5,0.0
CA-2015-AS10045140-42007,OFF-BI-3185,AS-100451408,03-01-2015,15,-12,5,0.7
IT-2012-ON1871545-40955,FUR-CH-5774,ON-1871545,16-02-2012,4544,1868,11,0.1
IN-2014-VS2182027-41790,FUR-BO-3639,VS-2182027,31-05-2014,1455,116,4,0.0
IN-2014-CM121157-41913,TEC-CO-4790,CM-121157,01-10-2014,1943,258,6,0.1
CA-2015-AB10060140-42315,FUR-TA-4622,AB-100601404,07-11-2015,2036,366,7,0.0
CA-2014-AB10060140-41884,OFF-BI-4340,AB-100601406,02-09-2014,4355,1415,4,0.2
ID-2014-JK153257-41984,TEC-CO-3709,JK-153257,11-12-2014,1695,-37,5,0.1
IT-2015-RP1927045-42081,TEC-CO-5998,RP-1927045,18-03-2015,1505,-265,6,0.15
IN-2015-DW1354078-42357,TEC-PH-3806,DW-1354078,19-12-2015,1954,312,3,0.0
CA-2015-AB10060140-42315,FUR-CH-4613,AB-100601404,07-11-2015,449,-73,2,0.2
US-2014-AB10060140-41712,OFF-AP-4221,AB-100601408,14-03-2014,160,44,2,0.0
CA-2015-AB10060140-42315,TEC-AC-5858,AB-100601404,07-11-2015,108,32,3,0.0
MX-2015-GM1444037-42265,TEC-CO-3587,GM-1444037,18-09-2015,1213,508,7,0.002
IN-2014-SV2081558-41968,TEC-CO-4577,SV-2081558,25-11-2014,1590,572,5,0.0
IN-2014-MM1792027-41950,TEC-AC-3405,MM-1792027,07-11-2014,2330,1025,9,0.0
IN-2015-JK1612059-42204,FUR-BO-5761,JK-1612059,19-07-2015,3278,140,8,0.07
ID-2013-EM14200130-41502,TEC-PH-5268,EM-14200130,16-08-2013,3741,946,7,0.17
CA-2015-AB10060140-42314,OFF-PA-6214,AB-100601402,06-11-2015,67,31,10,0.0
IN-2013-PM1894059-41284,FUR-BO-5787,PM-1894059,10-01-2013,3637,156,10,0.07
MX-2014-AT1043582-41667,OFF-AP-4736,AT-1043582,28-01-2014,2455,785,7,0.0
ID-2013-AB1001527-41439,TEC-MA-6150,AB-1001527,14-06-2013,1024,-286,8,0.5
CA-2015-AB10060140-42314,OFF-FA-6129,AB-100601402,06-11-2015,167,82,3,0.0
CA-2014-AB10060140-41884,OFF-PA-6430,AB-100601406,02-09-2014,24,11,2,0.0
MX-2013-PV1898518-41614,TEC-AC-5223,PV-1898518,06-12-2013,2297,988,14,0.0
IT-2014-SB2029064-41887,TEC-CO-4590,SB-2029064,05-09-2014,2671,534,7,0.0
SO-2015-SM10005116-42265,TEC-PH-5839,SM-10005116,18-09-2015,3834,268,6,0.0
CA-2014-AB10060140-41884,OFF-PA-6430,AB-100601406,02-09-2014,49,23,4,0.0
IN-2013-KH1633059-41489,OFF-AP-4960,KH-1633059,03-08-2013,3501,210,8,0.17
IN-2015-MP181757-42347,TEC-PH-3149,MP-181757,09-12-2015,1725,747,3,0.1
IN-2013-LH1702027-41572,TEC-CO-3597,LH-1702027,25-10-2013,1583,174,5,0.0
CA-2015-AB10060140-42132,TEC-AC-5109,AB-100601404,08-05-2015,79,28,1,0.0
ID-2014-CR126257-41878,FUR-BO-5763,CR-126257,27-08-2014,2760,-214,7,0.1
IN-2012-NC1862511-41041,TEC-AC-3403,NC-1862511,12-05-2012,3078,523,12,0.0
IT-2012-GM1468091-41215,OFF-AP-4745,GM-1468091,02-11-2012,1983,-1784,7,0.5
ES-2015-RA1994545-42218,FUR-BO-3624,RA-1994545,02-08-2015,1112,296,3,0.1
ES-2012-DB1306048-41171,TEC-CO-4789,DB-1306048,19-09-2012,3616,36,10,0.0
US-2014-AB10060140-41712,FUR-FU-4762,AB-100601408,14-03-2014,127,40,2,0.0
IN-2014-RF197357-41709,TEC-PH-5268,RF-197357,11-03-2014,2892,160,5,0.1
ES-2013-JH1582048-41306,TEC-PH-3806,JH-1582048,01-02-2013,3263,848,5,0.0
US-2014-AB10060140-41712,OFF-BI-4819,AB-100601408,14-03-2014,46,20,4,0.0
MX-2015-DM1295551-42103,FUR-TA-5064,DM-1295551,09-04-2015,3117,38,13,0.2
CA-2014-AB10060140-41881,OFF-SU-2972,AB-100601406,30-08-2014,27,8,3,0.0
MX-2015-BE1133582-42082,OFF-AP-4745,BE-1133582,19-03-2015,1888,887,5,0.0
IN-2014-SO2033527-41914,OFF-AP-4502,SO-2033527,02-10-2014,3000,1080,6,0.0
ES-2014-DK12835120-41651,OFF-AP-4507,DK-12835120,12-01-2014,3801,1444,7,0.0
SA-2015-LC7050110-42236,TEC-PH-3806,LC-7050110,20-08-2015,5211,1146,8,0.0
IN-2012-PB19210127-41259,FUR-TA-5065,PB-19210127,16-12-2012,1356,311,3,0.0
IN-2015-CG125207-42077,OFF-AP-4745,CG-125207,14-03-2015,3569,674,7,0.1
CA-2013-AB10060140-41535,OFF-PA-6420,AB-100601404,18-09-2013,18,8,2,0.0
ID-2015-HG1502559-42194,FUR-BO-5787,HG-1502559,09-07-2015,2910,125,8,0.07
ID-2014-AD1018059-41801,FUR-CH-4532,AD-1018059,11-06-2014,3126,-128,9,0.27
ES-2012-BP11155139-41130,TEC-PH-3805,BP-11155139,09-08-2012,5276,1758,9,0.1
ID-2015-AA10480130-42080,TEC-PH-5840,AA-10480130,17-03-2015,2645,0,5,0.17
ID-2014-RL196157-41641,FUR-BO-3639,RL-196157,02-01-2014,1637,-36,5,0.1
CA-2014-AB10060140-41884,OFF-BI-2911,AB-100601406,02-09-2014,3,1,1,0.2
ID-2013-SW2024559-41557,TEC-PH-5840,SW-2024559,10-10-2013,2645,0,5,0.17
CA-2014-AB10060140-41884,TEC-AC-5744,AB-100601406,02-09-2014,6,2,1,0.0
IN-2012-BW1111027-41076,FUR-TA-3420,BW-1111027,16-06-2012,3238,-740,5,0.3
ES-2015-YC21895139-42097,FUR-BO-3639,YC-21895139,03-04-2015,2291,127,7,0.1
MX-2012-JM1558082-41045,TEC-PH-5355,JM-1558082,16-05-2012,2124,488,5,0.0
BO-2015-MZ733513-42046,FUR-CH-4654,MZ-733513,11-02-2015,2757,744,6,0.0
ES-2014-JF15295120-41924,TEC-AC-4185,JF-15295120,12-10-2014,1549,139,6,0.0
CA-2015-AB10060140-42264,OFF-PA-6596,AB-100601406,17-09-2015,20,7,4,0.2
UP-2015-DJ3510137-42202,OFF-AP-4738,DJ-3510137,17-07-2015,3146,629,6,0.0
ES-2015-MF1825045-42330,TEC-MA-4205,MF-1825045,22-11-2015,2456,664,11,0.15
IT-2012-TC2129545-41058,FUR-TA-4642,TC-2129545,29-05-2012,2228,-754,7,0.35
CA-2015-AB10060140-42314,OFF-PA-3114,AB-100601402,06-11-2015,4,2,1,0.0
IN-2015-CP1234058-42202,OFF-AP-4502,CP-1234058,17-07-2015,4001,1440,8,0.0
ES-2015-EH1412545-42245,TEC-PH-3148,EH-1412545,29-08-2015,4876,745,9,0.15
IN-2013-NC183407-41634,FUR-TA-5054,NC-183407,26-12-2013,1788,204,6,0.3
IN-2015-BF1100558-42319,OFF-AP-3577,BF-1100558,11-11-2015,3622,1267,7,0.0
ID-2014-JS1603059-41760,FUR-TA-5072,JS-1603059,01-05-2014,1242,-140,5,0.47
ES-2012-AM10360139-41136,TEC-PH-5354,AM-10360139,15-08-2012,4453,1424,7,0.0
IN-2015-JF1519021-42341,FUR-TA-4706,JF-1519021,03-12-2015,2673,1069,8,0.0
IN-2014-AB100157-41815,FUR-CH-4654,AB-100157,25-06-2014,2046,591,5,0.1
ES-2014-JG15160139-41660,FUR-TA-3344,JG-15160139,21-01-2014,5451,2071,6,0.0
CA-2015-AH10075140-42301,FUR-TA-5421,AH-100751406,24-10-2015,637,-127,3,0.3
IN-2015-AG1033059-42197,OFF-AP-3574,AG-1033059,12-07-2015,1722,539,4,0.17
CA-2015-AH10075140-42301,FUR-FU-3936,AH-100751406,24-10-2015,210,50,2,0.0
ES-2015-NF1847548-42248,OFF-AP-3581,NF-1847548,01-09-2015,1007,134,2,0.1
CA-2015-AH10075140-42301,FUR-TA-4943,AH-100751406,24-10-2015,240,-13,4,0.3
IN-2012-DR129407-41066,OFF-AP-4966,DR-129407,06-06-2012,4624,1644,9,0.1
ES-2012-NB1865548-41194,OFF-ST-6049,NB-1865548,12-10-2012,1066,-11,6,0.1
IN-2014-NM1844527-41800,TEC-CO-5991,NM-1844527,10-06-2014,957,0,4,0.0
IN-2015-TA213857-42351,OFF-AP-4508,TA-213857,13-12-2015,4864,162,10,0.1
CA-2014-AH10075140-41898,OFF-BI-4338,AH-100751406,16-09-2014,841,294,2,0.2
ID-2015-SC20380102-42165,OFF-AP-3580,SC-20380102,10-06-2015,1433,-84,3,0.15
SF-2012-PA9060117-40954,OFF-ST-6047,PA-9060117,15-02-2012,2784,779,14,0.0
ES-2014-RB19570120-41971,FUR-BO-5760,RB-19570120,28-11-2014,3063,1470,7,0.0
CA-2014-AH10075140-41817,OFF-SU-5635,AH-100751404,27-06-2014,231,11,2,0.0
CA-2015-AH10075140-42110,FUR-FU-4756,AH-100751404,16-04-2015,196,70,5,0.0
US-2012-LH1675036-41129,TEC-PH-5839,LH-1675036,08-08-2012,2044,-332,6,0.2
CA-2014-AH10075140-41991,TEC-AC-6351,AH-100751402,18-12-2014,165,-6,3,0.2
IN-2013-KB1658527-41488,TEC-CO-3608,KB-1658527,02-08-2013,1521,0,4,0.0
ES-2013-LH1715545-41444,OFF-AP-4507,LH-1715545,19-06-2013,2443,760,5,0.1
CA-2015-AH1007523-42101,OFF-ST-4257,AH-1007523,07-04-2015,137,54,1,0.0
IR-2014-MZ751560-41853,TEC-MA-4210,MZ-751560,02-08-2014,1141,570,10,0.0
IN-2015-DM1334558-42146,OFF-ST-4266,DM-1334558,22-05-2015,1865,802,9,0.0
ID-2012-CA1196566-40949,TEC-PH-5841,CA-1196566,10-02-2012,6998,2939,11,0.0
ES-2014-SC20305120-41909,FUR-BO-3903,SC-20305120,27-09-2014,1091,119,3,0.0
IN-2015-MH1811558-42157,FUR-BO-4862,MH-1811558,02-06-2015,1094,328,3,0.0
IN-2014-KS163007-41912,FUR-BO-3640,KS-163007,30-09-2014,1320,484,4,0.1
IN-2012-BG1174078-41108,TEC-PH-5356,BG-1174078,18-07-2012,2555,664,4,0.0
RS-2015-CR2625108-42230,FUR-BO-5950,CR-2625108,14-08-2015,3498,594,8,0.0
CA-2015-AH10075140-42301,FUR-FU-4022,AH-100751406,24-10-2015,35,14,4,0.0
IN-2015-DK1309027-42308,TEC-CO-3611,DK-1309027,31-10-2015,2272,977,6,0.0
IN-2014-JL1583527-41845,TEC-PH-3806,JL-1583527,25-07-2014,5211,833,8,0.0
IN-2015-AP1072058-42284,TEC-PH-5269,AP-1072058,07-10-2015,2582,361,4,0.0
IN-2015-CR1282058-42294,TEC-PH-5356,CR-1282058,17-10-2015,3194,830,5,0.0
IN-2014-BF110807-41976,FUR-CH-4531,BF-110807,03-12-2014,1704,378,4,0.1
IN-2015-JM15265102-42316,OFF-AP-3571,JM-15265102,08-11-2015,1538,325,6,0.15
IN-2014-NM1844527-41800,FUR-CH-5378,NM-1844527,10-06-2014,1381,593,3,0.0
IT-2012-TW2102545-41172,FUR-BO-5760,TW-2102545,20-09-2012,1181,498,3,0.1
IT-2012-RB1933045-41080,FUR-CH-4530,RB-1933045,20-06-2012,1696,734,4,0.1
CA-2015-AH10075140-42273,OFF-SU-3839,AH-100751406,26-09-2015,190,-42,2,0.2
CA-2015-AH10075140-42144,FUR-CH-5429,AH-100751408,20-05-2015,314,-35,3,0.2
SF-2015-AB10060117-42334,OFF-AP-4732,AB-10060117,26-11-2015,1237,606,4,0.0
EG-2013-JR567038-41363,TEC-PH-5355,JR-567038,30-03-2013,1274,140,2,0.0
MX-2012-MD1735028-41222,OFF-AP-4962,MD-1735028,09-11-2012,3172,856,9,0.0
CA-2015-AH10075140-42301,OFF-PA-6415,AH-100751406,24-10-2015,43,21,8,0.0
ES-2013-EB13840139-41487,OFF-AP-4743,EB-13840139,01-08-2013,3979,1989,7,0.0
CA-2014-AH10075140-41991,OFF-PA-6577,AH-100751402,18-12-2014,51,18,10,0.2
CA-2014-AH10075140-41817,OFF-FA-5459,AH-100751404,27-06-2014,17,8,5,0.0
CA-2014-AH10075140-41817,OFF-PA-3115,AH-100751404,27-06-2014,12,5,2,0.0
AJ-2014-JL58359-41662,FUR-TA-3358,JL-58359,23-01-2014,2058,946,4,0.0
IN-2012-EP1391559-41049,FUR-BO-5967,EP-1391559,20-05-2012,2539,709,7,0.07
ES-2015-MS17770139-42275,FUR-BO-3626,MS-17770139,28-09-2015,2898,1420,7,0.0
IT-2012-CM1265545-41218,TEC-MA-5007,CM-1265545,05-11-2012,1320,357,5,0.15
LH-2015-JC610575-42032,FUR-TA-3345,JC-610575,28-01-2015,2171,-2750,8,0.7
IN-2015-GB145307-42260,TEC-CO-4593,GB-145307,13-09-2015,4448,444,13,0.1
CA-2015-AH10075140-42335,OFF-AR-5327,AH-100751408,27-11-2015,12,3,3,0.0
US-2012-JH161805-41264,TEC-PH-3149,JH-161805,21-12-2012,2300,38,9,0.4
EG-2014-MT807038-41675,FUR-BO-5951,MT-807038,05-02-2014,2615,1072,6,0.0
IN-2012-AB1010558-41270,TEC-CO-6010,AB-1010558,27-12-2012,1066,394,3,0.0
CA-2015-AH10075140-42301,OFF-AP-4739,AH-100751406,24-10-2015,2,0,1,0.0
LT-2012-CV280572-41025,TEC-PH-5354,CV-280572,26-04-2012,2544,814,4,0.0
IN-2012-NH1861092-41187,FUR-TA-4645,NH-1861092,05-10-2012,3694,886,4,0.0
ID-2014-HJ1487527-41875,FUR-TA-5065,HJ-1487527,24-08-2014,2214,-221,7,0.3
MX-2014-JL1517518-41903,FUR-CH-5776,JL-1517518,21-09-2014,1236,111,4,0.0
MX-2015-MY1829593-42355,OFF-AP-4505,MY-1829593,17-12-2015,1805,126,5,0.0
CA-2012-AH10075140-41228,OFF-LA-5591,AH-100751404,15-11-2012,5,2,2,0.0
CA-2013-AH10075140-41629,OFF-AR-5458,AH-100751406,21-12-2013,3,0,2,0.2
CA-2015-AH10075140-42273,OFF-BI-3301,AH-100751406,26-09-2015,8,-6,5,0.7
MX-2015-KC1654093-42158,OFF-AP-4507,KC-1654093,03-06-2015,1810,54,5,0.0
MX-2015-CS1246093-42259,TEC-PH-5354,CS-1246093,12-09-2015,2120,106,5,0.0
IN-2015-HA1492027-42111,TEC-PH-3148,HA-1492027,17-04-2015,1275,140,2,0.0
ES-2013-MT1781545-41599,TEC-MA-5017,MT-1781545,21-11-2013,1593,-225,7,0.15
ES-2015-FW1439545-42069,FUR-BO-3627,FW-1439545,06-03-2015,1114,383,3,0.1
ES-2013-BH1171048-41478,TEC-PH-3807,BH-1171048,23-07-2013,2944,1112,5,0.1
ID-2015-DK1289559-42315,OFF-AP-4964,DK-1289559,07-11-2015,3309,318,7,0.17
MX-2015-KD1627018-42330,FUR-CH-4544,KD-1627018,22-11-2015,897,322,9,0.0
ES-2012-SC208458-41070,FUR-BO-4848,SC-208458,10-06-2012,2056,390,5,0.0
MX-2013-CY1274582-41531,TEC-CO-6010,CY-1274582,14-09-2013,2365,18,10,0.002
IN-2012-HL150407-41237,TEC-CO-3596,HL-150407,24-11-2012,1336,44,7,0.4
IN-2013-CT1199566-41496,TEC-CO-4591,CT-1199566,10-08-2013,3038,1245,8,0.0
ES-2014-CC12370139-41718,OFF-AP-3573,CC-12370139,20-03-2014,2698,890,9,0.0
LT-2014-GR456072-42003,TEC-CO-3688,GR-456072,30-12-2014,3799,455,12,0.0
IN-2013-TT2107058-41551,FUR-CH-4656,TT-2107058,04-10-2013,2756,413,6,0.0
IT-2013-PO19195120-41492,TEC-PH-3146,PO-19195120,06-08-2013,983,-11,8,0.1
IN-2013-ED13885144-41549,FUR-CH-4530,ED-13885144,02-10-2013,1719,117,5,0.27
IN-2015-AP1091559-42089,OFF-AP-4966,AP-1091559,26-03-2015,1421,428,3,0.17
MX-2015-TM2149031-42329,TEC-CO-3597,TM-2149031,21-11-2015,1053,441,5,0.002
