Order Date,order year,order month
04-10-2015,2015,10
02-12-2014,2014,12
03-01-2015,2015,1
28-01-2014,2014,1
07-05-2013,2013,5
27-11-2014,2014,11
28-11-2013,2013,11
29-09-2013,2013,9
03-09-2014,2014,9
26-07-2014,2014,7
19-11-2015,2015,11
19-06-2013,2013,6
11-10-2013,2013,10
08-08-2012,2012,8
04-11-2012,2012,11
26-07-2012,2012,7
26-04-2014,2014,4
26-12-2014,2014,12
13-03-2014,2014,3
29-03-2014,2014,3
05-04-2013,2013,4
26-12-2013,2013,12
18-04-2014,2014,4
23-05-2012,2012,5
02-08-2015,2015,8
16-05-2014,2014,5
03-01-2015,2015,1
16-02-2012,2012,2
31-05-2014,2014,5
01-10-2014,2014,10
07-11-2015,2015,11
02-09-2014,2014,9
11-12-2014,2014,12
18-03-2015,2015,3
19-12-2015,2015,12
07-11-2015,2015,11
14-03-2014,2014,3
07-11-2015,2015,11
18-09-2015,2015,9
25-11-2014,2014,11
07-11-2014,2014,11
19-07-2015,2015,7
16-08-2013,2013,8
06-11-2015,2015,11
10-01-2013,2013,1
28-01-2014,2014,1
14-06-2013,2013,6
06-11-2015,2015,11
02-09-2014,2014,9
06-12-2013,2013,12
05-09-2014,2014,9
18-09-2015,2015,9
02-09-2014,2014,9
03-08-2013,2013,8
09-12-2015,2015,12
25-10-2013,2013,10
08-05-2015,2015,5
27-08-2014,2014,8
12-05-2012,2012,5
02-11-2012,2012,11
02-08-2015,2015,8
19-09-2012,2012,9
14-03-2014,2014,3
11-03-2014,2014,3
01-02-2013,2013,2
14-03-2014,2014,3
09-04-2015,2015,4
30-08-2014,2014,8
19-03-2015,2015,3
02-10-2014,2014,10
12-01-2014,2014,1
20-08-2015,2015,8
16-12-2012,2012,12
14-03-2015,2015,3
18-09-2013,2013,9
09-07-2015,2015,7
11-06-2014,2014,6
09-08-2012,2012,8
17-03-2015,2015,3
02-01-2014,2014,1
02-09-2014,2014,9
10-10-2013,2013,10
02-09-2014,2014,9
16-06-2012,2012,6
03-04-2015,2015,4
16-05-2012,2012,5
11-02-2015,2015,2
12-10-2014,2014,10
17-09-2015,2015,9
17-07-2015,2015,7
22-11-2015,2015,11
29-05-2012,2012,5
06-11-2015,2015,11
17-07-2015,2015,7
29-08-2015,2015,8
26-12-2013,2013,12
11-11-2015,2015,11
01-05-2014,2014,5
15-08-2012,2012,8
03-12-2015,2015,12
25-06-2014,2014,6
21-01-2014,2014,1
24-10-2015,2015,10
12-07-2015,2015,7
24-10-2015,2015,10
01-09-2015,2015,9
24-10-2015,2015,10
06-06-2012,2012,6
12-10-2012,2012,10
10-06-2014,2014,6
13-12-2015,2015,12
16-09-2014,2014,9
10-06-2015,2015,6
15-02-2012,2012,2
28-11-2014,2014,11
27-06-2014,2014,6
16-04-2015,2015,4
08-08-2012,2012,8
18-12-2014,2014,12
02-08-2013,2013,8
19-06-2013,2013,6
07-04-2015,2015,4
02-08-2014,2014,8
22-05-2015,2015,5
10-02-2012,2012,2
27-09-2014,2014,9
02-06-2015,2015,6
30-09-2014,2014,9
18-07-2012,2012,7
14-08-2015,2015,8
24-10-2015,2015,10
31-10-2015,2015,10
25-07-2014,2014,7
07-10-2015,2015,10
17-10-2015,2015,10
03-12-2014,2014,12
08-11-2015,2015,11
10-06-2014,2014,6
20-09-2012,2012,9
20-06-2012,2012,6
26-09-2015,2015,9
20-05-2015,2015,5
26-11-2015,2015,11
30-03-2013,2013,3
09-11-2012,2012,11
24-10-2015,2015,10
01-08-2013,2013,8
18-12-2014,2014,12
27-06-2014,2014,6
27-06-2014,2014,6
23-01-2014,2014,1
20-05-2012,2012,5
28-09-2015,2015,9
05-11-2012,2012,11
28-01-2015,2015,1
13-09-2015,2015,9
27-11-2015,2015,11
21-12-2012,2012,12
05-02-2014,2014,2
27-12-2012,2012,12
24-10-2015,2015,10
26-04-2012,2012,4
05-10-2012,2012,10
24-08-2014,2014,8
21-09-2014,2014,9
17-12-2015,2015,12
15-11-2012,2012,11
21-12-2013,2013,12
26-09-2015,2015,9
03-06-2015,2015,6
12-09-2015,2015,9
17-04-2015,2015,4
21-11-2013,2013,11
06-03-2015,2015,3
23-07-2013,2013,7
07-11-2015,2015,11
22-11-2015,2015,11
10-06-2012,2012,6
14-09-2013,2013,9
24-11-2012,2012,11
10-08-2013,2013,8
20-03-2014,2014,3
30-12-2014,2014,12
04-10-2013,2013,10
06-08-2013,2013,8
02-10-2013,2013,10
26-03-2015,2015,3
21-11-2015,2015,11
29-11-2012,2012,11
02-11-2012,2012,11
20-05-2015,2015,5
06-12-2013,2013,12
03-12-2014,2014,12
20-12-2013,2013,12
13-09-2013,2013,9
17-09-2015,2015,9
21-09-2012,2012,9
09-11-2013,2013,11
23-05-2013,2013,5
22-06-2014,2014,6
14-04-2015,2015,4
29-08-2015,2015,8
16-05-2015,2015,5
13-12-2013,2013,12
30-03-2012,2012,3
03-02-2013,2013,2
29-05-2014,2014,5
29-08-2013,2013,8
14-06-2012,2012,6
28-08-2015,2015,8
26-10-2012,2012,10
19-03-2015,2015,3
11-09-2015,2015,9
28-08-2013,2013,8
17-09-2015,2015,9
01-08-2014,2014,8
22-06-2014,2014,6
24-12-2015,2015,12
17-09-2015,2015,9
22-02-2013,2013,2
11-10-2015,2015,10
21-04-2015,2015,4
12-06-2014,2014,6
17-09-2014,2014,9
19-09-2015,2015,9
26-11-2015,2015,11
01-09-2015,2015,9
20-06-2015,2015,6
23-10-2015,2015,10
15-08-2012,2012,8
12-09-2015,2015,9
02-04-2015,2015,4
14-01-2015,2015,1
13-11-2015,2015,11
13-06-2014,2014,6
17-09-2015,2015,9
22-09-2015,2015,9
08-01-2012,2012,1
21-09-2012,2012,9
30-07-2014,2014,7
03-12-2015,2015,12
30-04-2015,2015,4
27-09-2012,2012,9
24-06-2015,2015,6
05-04-2012,2012,4
07-08-2015,2015,8
02-04-2015,2015,4
14-02-2015,2015,2
23-12-2012,2012,12
17-08-2013,2013,8
09-11-2013,2013,11
07-08-2013,2013,8
22-06-2014,2014,6
03-05-2014,2014,5
09-08-2013,2013,8
21-02-2014,2014,2
18-07-2013,2013,7
12-09-2014,2014,9
09-04-2015,2015,4
18-06-2013,2013,6
31-12-2014,2014,12
03-05-2014,2014,5
15-01-2013,2013,1
12-06-2013,2013,6
17-03-2015,2015,3
13-11-2013,2013,11
03-05-2014,2014,5
17-09-2015,2015,9
16-05-2015,2015,5
09-11-2013,2013,11
22-12-2015,2015,12
14-09-2014,2014,9
07-01-2014,2014,1
27-06-2015,2015,6
13-07-2013,2013,7
11-02-2015,2015,2
29-05-2015,2015,5
16-04-2015,2015,4
27-11-2015,2015,11
08-11-2012,2012,11
18-09-2015,2015,9
24-02-2015,2015,2
03-09-2014,2014,9
23-12-2014,2014,12
17-06-2015,2015,6
15-03-2015,2015,3
12-07-2015,2015,7
09-06-2015,2015,6
15-10-2015,2015,10
06-08-2015,2015,8
25-12-2013,2013,12
07-12-2013,2013,12
16-05-2014,2014,5
17-06-2014,2014,6
03-11-2015,2015,11
28-05-2013,2013,5
17-08-2014,2014,8
02-06-2012,2012,6
13-07-2012,2012,7
09-11-2013,2013,11
16-10-2012,2012,10
13-11-2012,2012,11
14-07-2015,2015,7
03-06-2015,2015,6
15-12-2015,2015,12
28-06-2015,2015,6
20-12-2015,2015,12
05-02-2013,2013,2
21-01-2012,2012,1
03-08-2013,2013,8
27-10-2015,2015,10
26-02-2013,2013,2
11-06-2013,2013,6
23-02-2012,2012,2
21-09-2012,2012,9
20-07-2014,2014,7
29-03-2014,2014,3
23-10-2015,2015,10
24-06-2015,2015,6
30-10-2014,2014,10
13-12-2013,2013,12
04-05-2014,2014,5
21-09-2012,2012,9
07-09-2012,2012,9
22-04-2013,2013,4
30-10-2014,2014,10
15-04-2012,2012,4
12-09-2014,2014,9
18-12-2014,2014,12
31-10-2015,2015,10
12-04-2014,2014,4
11-11-2014,2014,11
13-10-2013,2013,10
13-10-2013,2013,10
30-01-2015,2015,1
12-10-2013,2013,10
06-06-2015,2015,6
20-11-2015,2015,11
19-09-2014,2014,9
31-12-2013,2013,12
29-12-2015,2015,12
15-11-2014,2014,11
19-12-2012,2012,12
19-05-2015,2015,5
08-09-2015,2015,9
17-06-2014,2014,6
07-12-2012,2012,12
19-09-2015,2015,9
26-09-2014,2014,9
10-02-2015,2015,2
08-02-2015,2015,2
05-08-2014,2014,8
15-04-2015,2015,4
07-11-2013,2013,11
05-05-2015,2015,5
04-11-2014,2014,11
10-06-2015,2015,6
31-08-2013,2013,8
20-06-2014,2014,6
23-08-2015,2015,8
28-05-2013,2013,5
19-05-2015,2015,5
29-04-2014,2014,4
23-12-2014,2014,12
12-10-2015,2015,10
15-04-2015,2015,4
28-11-2015,2015,11
11-05-2013,2013,5
18-06-2014,2014,6
04-05-2013,2013,5
10-11-2012,2012,11
24-12-2015,2015,12
15-05-2015,2015,5
09-12-2015,2015,12
06-12-2012,2012,12
10-09-2014,2014,9
02-03-2012,2012,3
01-01-2013,2013,1
30-10-2013,2013,10
19-11-2014,2014,11
15-08-2014,2014,8
08-06-2014,2014,6
02-10-2015,2015,10
27-02-2015,2015,2
31-10-2014,2014,10
18-12-2014,2014,12
09-05-2015,2015,5
04-07-2015,2015,7
17-05-2013,2013,5
02-08-2012,2012,8
20-09-2015,2015,9
14-02-2014,2014,2
23-05-2013,2013,5
04-08-2015,2015,8
13-11-2014,2014,11
12-02-2015,2015,2
11-11-2015,2015,11
30-03-2014,2014,3
07-11-2013,2013,11
20-09-2015,2015,9
19-08-2014,2014,8
29-05-2015,2015,5
22-08-2013,2013,8
05-07-2015,2015,7
14-03-2013,2013,3
15-05-2015,2015,5
16-09-2015,2015,9
07-08-2015,2015,8
09-09-2014,2014,9
08-09-2015,2015,9
07-11-2013,2013,11
17-10-2013,2013,10
17-02-2015,2015,2
23-02-2013,2013,2
03-12-2013,2013,12
12-12-2013,2013,12
16-06-2015,2015,6
20-12-2013,2013,12
13-05-2015,2015,5
04-08-2015,2015,8
07-11-2015,2015,11
10-06-2014,2014,6
10-05-2013,2013,5
13-09-2014,2014,9
25-07-2014,2014,7
11-10-2015,2015,10
21-11-2012,2012,11
07-11-2013,2013,11
25-10-2015,2015,10
02-02-2014,2014,2
14-10-2014,2014,10
14-02-2012,2012,2
01-05-2015,2015,5
10-03-2012,2012,3
03-08-2013,2013,8
20-12-2013,2013,12
03-08-2013,2013,8
20-06-2013,2013,6
08-02-2014,2014,2
27-09-2012,2012,9
23-06-2013,2013,6
20-12-2014,2014,12
11-10-2013,2013,10
28-08-2012,2012,8
18-07-2015,2015,7
05-12-2012,2012,12
16-04-2015,2015,4
20-09-2015,2015,9
01-09-2012,2012,9
01-08-2014,2014,8
12-09-2015,2015,9
06-08-2015,2015,8
20-11-2015,2015,11
04-05-2013,2013,5
27-08-2013,2013,8
24-12-2014,2014,12
29-01-2014,2014,1
15-05-2015,2015,5
26-12-2012,2012,12
30-11-2013,2013,11
21-05-2014,2014,5
07-11-2013,2013,11
27-06-2015,2015,6
20-09-2015,2015,9
25-07-2014,2014,7
20-11-2015,2015,11
26-10-2012,2012,10
07-11-2013,2013,11
26-12-2013,2013,12
19-12-2012,2012,12
07-05-2013,2013,5
08-01-2012,2012,1
19-12-2014,2014,12
09-04-2015,2015,4
17-06-2012,2012,6
09-01-2013,2013,1
11-02-2015,2015,2
17-07-2012,2012,7
12-04-2013,2013,4
03-01-2015,2015,1
09-04-2015,2015,4
13-12-2015,2015,12
03-07-2015,2015,7
18-08-2015,2015,8
07-10-2015,2015,10
20-06-2014,2014,6
11-07-2015,2015,7
24-04-2015,2015,4
03-05-2012,2012,5
05-10-2012,2012,10
12-11-2015,2015,11
17-12-2015,2015,12
18-08-2015,2015,8
05-04-2014,2014,4
19-09-2015,2015,9
19-12-2014,2014,12
10-07-2015,2015,7
06-10-2015,2015,10
01-06-2014,2014,6
20-08-2013,2013,8
29-08-2012,2012,8
04-12-2013,2013,12
13-10-2015,2015,10
19-12-2014,2014,12
16-06-2013,2013,6
20-08-2014,2014,8
21-06-2013,2013,6
23-05-2013,2013,5
30-04-2014,2014,4
15-06-2013,2013,6
19-12-2014,2014,12
18-12-2014,2014,12
21-07-2015,2015,7
08-02-2014,2014,2
26-10-2012,2012,10
19-12-2014,2014,12
26-02-2014,2014,2
25-11-2012,2012,11
20-08-2013,2013,8
24-05-2013,2013,5
03-11-2012,2012,11
21-09-2012,2012,9
17-10-2014,2014,10
19-12-2014,2014,12
05-06-2014,2014,6
14-05-2014,2014,5
19-12-2014,2014,12
03-07-2015,2015,7
21-10-2014,2014,10
11-08-2015,2015,8
04-05-2014,2014,5
15-07-2014,2014,7
19-12-2014,2014,12
02-12-2015,2015,12
08-01-2015,2015,1
01-07-2014,2014,7
27-06-2015,2015,6
11-03-2012,2012,3
15-01-2014,2014,1
28-08-2013,2013,8
18-11-2012,2012,11
24-12-2015,2015,12
16-06-2013,2013,6
11-07-2014,2014,7
22-05-2013,2013,5
05-08-2015,2015,8
12-08-2015,2015,8
26-12-2013,2013,12
05-01-2014,2014,1
29-12-2015,2015,12
16-12-2014,2014,12
27-02-2014,2014,2
04-07-2013,2013,7
20-08-2013,2013,8
01-11-2015,2015,11
03-07-2013,2013,7
29-11-2015,2015,11
07-04-2012,2012,4
20-11-2015,2015,11
09-05-2013,2013,5
19-11-2013,2013,11
01-09-2015,2015,9
04-11-2014,2014,11
20-11-2015,2015,11
19-11-2014,2014,11
31-12-2015,2015,12
14-11-2014,2014,11
01-02-2013,2013,2
19-03-2014,2014,3
21-03-2013,2013,3
24-05-2015,2015,5
14-06-2014,2014,6
04-03-2012,2012,3
04-03-2012,2012,3
04-03-2012,2012,3
09-12-2014,2014,12
09-10-2014,2014,10
16-10-2014,2014,10
23-12-2012,2012,12
16-04-2014,2014,4
08-08-2012,2012,8
04-03-2012,2012,3
18-10-2012,2012,10
23-02-2012,2012,2
09-03-2012,2012,3
25-01-2015,2015,1
18-06-2015,2015,6
23-12-2012,2012,12
08-01-2014,2014,1
04-01-2014,2014,1
31-01-2015,2015,1
03-11-2012,2012,11
05-09-2015,2015,9
24-09-2014,2014,9
21-06-2012,2012,6
30-08-2013,2013,8
17-06-2014,2014,6
20-11-2015,2015,11
18-12-2013,2013,12
25-09-2014,2014,9
24-03-2015,2015,3
31-01-2014,2014,1
02-12-2012,2012,12
28-05-2015,2015,5
14-06-2015,2015,6
11-11-2012,2012,11
31-05-2014,2014,5
04-03-2012,2012,3
16-08-2012,2012,8
06-03-2013,2013,3
20-11-2015,2015,11
06-08-2015,2015,8
18-06-2015,2015,6
31-12-2015,2015,12
24-09-2013,2013,9
18-02-2014,2014,2
20-11-2015,2015,11
20-11-2015,2015,11
24-11-2015,2015,11
23-09-2015,2015,9
04-11-2015,2015,11
01-09-2015,2015,9
10-09-2013,2013,9
21-01-2014,2014,1
17-04-2015,2015,4
08-03-2014,2014,3
25-02-2012,2012,2
28-03-2013,2013,3
16-09-2015,2015,9
08-07-2014,2014,7
25-06-2013,2013,6
31-12-2014,2014,12
16-09-2015,2015,9
29-01-2015,2015,1
07-09-2012,2012,9
17-02-2015,2015,2
30-05-2013,2013,5
02-01-2014,2014,1
23-11-2013,2013,11
11-04-2015,2015,4
03-08-2013,2013,8
18-11-2015,2015,11
12-12-2012,2012,12
20-06-2015,2015,6
15-04-2015,2015,4
21-05-2014,2014,5
03-10-2015,2015,10
25-12-2012,2012,12
24-09-2015,2015,9
25-06-2013,2013,6
26-08-2015,2015,8
18-11-2015,2015,11
01-12-2013,2013,12
06-09-2015,2015,9
30-09-2015,2015,9
31-03-2015,2015,3
26-09-2013,2013,9
30-12-2015,2015,12
20-01-2015,2015,1
15-07-2014,2014,7
28-02-2012,2012,2
31-03-2015,2015,3
03-06-2014,2014,6
05-03-2014,2014,3
15-11-2012,2012,11
15-10-2015,2015,10
22-05-2012,2012,5
10-05-2013,2013,5
29-08-2015,2015,8
21-06-2015,2015,6
08-05-2015,2015,5
19-08-2014,2014,8
27-06-2014,2014,6
24-01-2012,2012,1
28-03-2013,2013,3
04-12-2015,2015,12
28-06-2014,2014,6
24-05-2013,2013,5
08-12-2015,2015,12
11-12-2013,2013,12
05-03-2015,2015,3
25-06-2014,2014,6
02-06-2015,2015,6
26-09-2012,2012,9
05-06-2014,2014,6
16-10-2014,2014,10
06-12-2015,2015,12
25-06-2013,2013,6
21-11-2015,2015,11
10-11-2013,2013,11
07-06-2012,2012,6
07-04-2015,2015,4
17-10-2012,2012,10
25-04-2013,2013,4
31-08-2013,2013,8
18-04-2013,2013,4
20-12-2014,2014,12
04-06-2014,2014,6
25-06-2013,2013,6
16-08-2013,2013,8
14-08-2015,2015,8
15-04-2015,2015,4
03-09-2014,2014,9
29-05-2015,2015,5
24-06-2014,2014,6
15-04-2015,2015,4
08-05-2015,2015,5
06-12-2015,2015,12
13-02-2015,2015,2
28-11-2015,2015,11
24-08-2013,2013,8
02-08-2015,2015,8
28-11-2014,2014,11
18-08-2012,2012,8
13-03-2015,2015,3
04-04-2014,2014,4
23-01-2015,2015,1
17-05-2015,2015,5
23-04-2014,2014,4
23-01-2015,2015,1
14-09-2013,2013,9
26-09-2015,2015,9
05-10-2013,2013,10
29-10-2015,2015,10
22-11-2012,2012,11
10-12-2015,2015,12
08-12-2012,2012,12
25-12-2012,2012,12
17-12-2014,2014,12
14-04-2015,2015,4
20-12-2015,2015,12
17-09-2014,2014,9
02-12-2015,2015,12
01-05-2015,2015,5
26-12-2013,2013,12
11-10-2014,2014,10
25-04-2013,2013,4
23-06-2015,2015,6
28-11-2013,2013,11
27-06-2015,2015,6
26-06-2015,2015,6
17-09-2013,2013,9
28-11-2014,2014,11
14-11-2015,2015,11
23-07-2015,2015,7
04-09-2015,2015,9
14-06-2013,2013,6
23-01-2015,2015,1
02-12-2015,2015,12
18-01-2015,2015,1
26-06-2015,2015,6
25-01-2013,2013,1
07-07-2013,2013,7
27-11-2012,2012,11
27-11-2015,2015,11
07-12-2013,2013,12
18-11-2012,2012,11
17-12-2013,2013,12
19-11-2014,2014,11
02-09-2015,2015,9
16-05-2015,2015,5
05-11-2014,2014,11
06-11-2012,2012,11
09-04-2014,2014,4
12-06-2015,2015,6
10-06-2014,2014,6
05-07-2015,2015,7
01-05-2014,2014,5
04-07-2013,2013,7
06-11-2013,2013,11
23-01-2015,2015,1
14-09-2012,2012,9
26-12-2014,2014,12
19-12-2014,2014,12
02-09-2015,2015,9
19-12-2014,2014,12
25-06-2014,2014,6
25-06-2012,2012,6
24-09-2015,2015,9
05-03-2013,2013,3
19-12-2014,2014,12
04-10-2014,2014,10
08-11-2013,2013,11
27-01-2013,2013,1
19-12-2013,2013,12
08-08-2012,2012,8
05-03-2013,2013,3
17-12-2015,2015,12
15-11-2012,2012,11
18-10-2014,2014,10
09-10-2015,2015,10
24-03-2015,2015,3
06-11-2015,2015,11
31-12-2013,2013,12
25-08-2015,2015,8
25-08-2015,2015,8
09-04-2015,2015,4
04-10-2015,2015,10
10-11-2013,2013,11
17-10-2015,2015,10
04-12-2015,2015,12
25-10-2013,2013,10
20-09-2012,2012,9
10-11-2012,2012,11
07-12-2013,2013,12
13-03-2013,2013,3
25-12-2015,2015,12
28-12-2012,2012,12
14-10-2015,2015,10
28-01-2015,2015,1
13-11-2014,2014,11
03-09-2015,2015,9
15-08-2013,2013,8
14-07-2015,2015,7
12-01-2013,2013,1
25-04-2013,2013,4
14-10-2014,2014,10
07-05-2013,2013,5
07-08-2012,2012,8
16-12-2012,2012,12
24-11-2015,2015,11
14-11-2012,2012,11
05-11-2013,2013,11
06-01-2013,2013,1
28-11-2012,2012,11
22-09-2012,2012,9
28-08-2013,2013,8
09-03-2015,2015,3
10-11-2013,2013,11
17-06-2015,2015,6
05-06-2013,2013,6
03-05-2014,2014,5
02-10-2014,2014,10
14-12-2012,2012,12
25-10-2013,2013,10
18-02-2014,2014,2
11-09-2015,2015,9
15-10-2014,2014,10
07-12-2013,2013,12
16-10-2014,2014,10
11-03-2015,2015,3
17-09-2015,2015,9
03-11-2012,2012,11
29-09-2015,2015,9
09-07-2015,2015,7
19-03-2013,2013,3
13-06-2014,2014,6
31-08-2014,2014,8
24-05-2014,2014,5
28-06-2012,2012,6
13-12-2012,2012,12
28-11-2012,2012,11
12-08-2014,2014,8
10-09-2013,2013,9
11-06-2014,2014,6
24-10-2014,2014,10
11-06-2014,2014,6
20-09-2013,2013,9
15-05-2015,2015,5
20-02-2014,2014,2
09-12-2012,2012,12
18-10-2014,2014,10
29-11-2014,2014,11
24-12-2015,2015,12
05-02-2013,2013,2
07-12-2013,2013,12
28-08-2015,2015,8
09-02-2014,2014,2
09-03-2015,2015,3
11-05-2012,2012,5
17-10-2012,2012,10
12-08-2014,2014,8
24-06-2015,2015,6
31-01-2015,2015,1
26-05-2015,2015,5
25-10-2012,2012,10
28-01-2015,2015,1
22-05-2014,2014,5
11-08-2012,2012,8
02-05-2012,2012,5
26-08-2014,2014,8
01-10-2013,2013,10
25-06-2014,2014,6
18-09-2015,2015,9
21-04-2015,2015,4
17-10-2012,2012,10
28-03-2015,2015,3
08-09-2015,2015,9
18-11-2014,2014,11
17-10-2015,2015,10
07-03-2013,2013,3
16-04-2015,2015,4
18-06-2013,2013,6
13-07-2012,2012,7
30-05-2014,2014,5
17-06-2014,2014,6
26-03-2015,2015,3
14-09-2012,2012,9
20-09-2013,2013,9
17-10-2012,2012,10
16-12-2012,2012,12
18-09-2015,2015,9
20-08-2012,2012,8
24-09-2013,2013,9
01-04-2015,2015,4
09-12-2015,2015,12
17-10-2014,2014,10
19-01-2014,2014,1
10-12-2015,2015,12
31-05-2012,2012,5
18-09-2015,2015,9
03-10-2015,2015,10
09-10-2015,2015,10
16-10-2015,2015,10
07-09-2012,2012,9
22-01-2014,2014,1
18-09-2015,2015,9
03-12-2014,2014,12
02-08-2012,2012,8
01-05-2014,2014,5
10-10-2014,2014,10
25-10-2014,2014,10
22-10-2014,2014,10
12-02-2012,2012,2
21-08-2014,2014,8
01-01-2013,2013,1
21-06-2012,2012,6
28-05-2014,2014,5
14-08-2015,2015,8
24-10-2015,2015,10
26-11-2015,2015,11
07-09-2013,2013,9
09-06-2012,2012,6
30-03-2012,2012,3
05-11-2015,2015,11
22-11-2014,2014,11
18-03-2015,2015,3
12-12-2014,2014,12
29-08-2015,2015,8
05-10-2013,2013,10
22-09-2012,2012,9
04-01-2014,2014,1
04-05-2013,2013,5
10-12-2014,2014,12
17-11-2012,2012,11
29-11-2013,2013,11
29-01-2015,2015,1
20-03-2014,2014,3
18-05-2012,2012,5
15-08-2015,2015,8
16-10-2014,2014,10
29-09-2013,2013,9
20-06-2013,2013,6
18-11-2015,2015,11
29-11-2012,2012,11
18-04-2013,2013,4
17-09-2015,2015,9
20-09-2014,2014,9
05-02-2014,2014,2
23-01-2015,2015,1
01-12-2015,2015,12
24-02-2012,2012,2
10-11-2013,2013,11
24-06-2012,2012,6
29-09-2013,2013,9
01-11-2013,2013,11
10-07-2014,2014,7
20-11-2015,2015,11
07-03-2013,2013,3
04-09-2013,2013,9
18-09-2015,2015,9
28-09-2013,2013,9
05-06-2012,2012,6
18-09-2015,2015,9
02-12-2012,2012,12
18-09-2015,2015,9
14-03-2012,2012,3
15-12-2015,2015,12
04-07-2014,2014,7
18-08-2012,2012,8
31-05-2015,2015,5
09-01-2014,2014,1
04-12-2015,2015,12
05-08-2014,2014,8
22-07-2015,2015,7
06-05-2014,2014,5
25-12-2013,2013,12
07-12-2013,2013,12
23-06-2015,2015,6
31-08-2012,2012,8
14-03-2012,2012,3
27-12-2013,2013,12
14-03-2012,2012,3
11-09-2014,2014,9
15-09-2013,2013,9
10-02-2015,2015,2
14-03-2012,2012,3
31-12-2014,2014,12
03-12-2015,2015,12
20-11-2015,2015,11
26-06-2014,2014,6
07-10-2015,2015,10
08-04-2014,2014,4
06-08-2014,2014,8
21-07-2012,2012,7
14-06-2012,2012,6
01-02-2014,2014,2
20-12-2013,2013,12
26-07-2013,2013,7
29-03-2013,2013,3
25-01-2014,2014,1
22-06-2015,2015,6
02-04-2013,2013,4
02-10-2015,2015,10
25-05-2014,2014,5
17-03-2015,2015,3
13-10-2015,2015,10
15-12-2013,2013,12
16-11-2013,2013,11
05-01-2012,2012,1
26-04-2012,2012,4
13-04-2013,2013,4
10-06-2013,2013,6
29-01-2014,2014,1
08-07-2014,2014,7
04-06-2014,2014,6
28-11-2012,2012,11
10-10-2015,2015,10
26-03-2015,2015,3
03-07-2013,2013,7
05-10-2012,2012,10
02-08-2015,2015,8
10-05-2013,2013,5
25-06-2015,2015,6
22-06-2015,2015,6
16-08-2014,2014,8
14-03-2012,2012,3
28-08-2012,2012,8
20-09-2012,2012,9
15-07-2014,2014,7
03-07-2014,2014,7
17-05-2014,2014,5
10-10-2012,2012,10
01-05-2015,2015,5
21-03-2015,2015,3
01-08-2015,2015,8
16-01-2013,2013,1
06-09-2013,2013,9
11-12-2015,2015,12
11-12-2014,2014,12
25-06-2013,2013,6
11-03-2014,2014,3
15-12-2015,2015,12
28-04-2013,2013,4
08-04-2014,2014,4
08-11-2013,2013,11
20-12-2014,2014,12
27-11-2015,2015,11
30-07-2014,2014,7
03-06-2015,2015,6
17-06-2015,2015,6
05-06-2013,2013,6
27-05-2015,2015,5
29-07-2015,2015,7
21-08-2014,2014,8
02-08-2013,2013,8
18-07-2015,2015,7
24-08-2014,2014,8
18-11-2015,2015,11
07-12-2015,2015,12
23-10-2013,2013,10
08-05-2013,2013,5
27-06-2014,2014,6
